,survey_id,survey_date,survey_name,question_description,response_total,response_1_text,response_1_percent,response_2_text,response_2_percent,response_3_text,response_3_percent,response_4_text,response_4_percent,response_5_text,response_5_percent,response_6_text,response_6_percent,response_7_text,response_7_percent
34,852,2016-12-01,MBTA Customer Opinion Panel,Vehicle crowdedness,372,Unacceptable,0.0523,Very Poor,0.0523,Poor,0.1254,Fair,0.1891,Good,0.2306,Very Good,0.1705,Excellent,0.1722
35,853,2016-12-01,MBTA Customer Opinion Panel,Vehicle cleanliness,370,Unacceptable,0.0061,Very Poor,0.0061,Poor,0.0617,Fair,0.2129,Good,0.3529,Very Good,0.2222,Excellent,0.1164
36,854,2016-12-01,MBTA Customer Opinion Panel,Speed/travel time,373,Unacceptable,0.0295,Very Poor,0.0295,Poor,0.1352,Fair,0.1318999999,Good,0.2763,Very Good,0.2,Excellent,0.1553
37,855,2016-12-01,MBTA Customer Opinion Panel,Parking availability,149,Unacceptable,0.047,Very Poor,0.047,Poor,0.0903,Fair,0.1702,Good,0.2351,Very Good,0.1496,Excellent,0.2529
38,856,2016-12-01,MBTA Customer Opinion Panel,Real-time communications,303,Unacceptable,0.0616,Very Poor,0.0616,Poor,0.1023,Fair,0.175,Good,0.2353,Very Good,0.2168,Excellent,0.1542
39,857,2016-12-01,MBTA Customer Opinion Panel,Mbta website,326,Extremely Dissatisfied,0.0168,Very Dissatisfied,0.0168,Somewhat Dissatisfied,0.0963,Neutral,0.1996,Somewhat Satisfied,0.2418,Very Satisfied,0.311,Extremely Satisfied,0.093
40,858,2016-12-01,MBTA Customer Opinion Panel,Real time arrival signage (countdown timers),347,Extremely Dissatisfied,0.0373,Very Dissatisfied,0.0373,Somewhat Dissatisfied,0.0741,Neutral,0.0651,Somewhat Satisfied,0.2586,Very Satisfied,0.3389,Extremely Satisfied,0.166
41,859,2016-12-01,MBTA Customer Opinion Panel,In-station announcements,334,Extremely Dissatisfied,0.0461,Very Dissatisfied,0.0461,Somewhat Dissatisfied,0.1146,Neutral,0.1494,Somewhat Satisfied,0.2958,Very Satisfied,0.2437,Extremely Satisfied,0.0851
42,860,2016-12-01,MBTA Customer Opinion Panel,On-vehicle announcements,359,Extremely Dissatisfied,0.0673,Very Dissatisfied,0.0673,Somewhat Dissatisfied,0.1401,Neutral,0.1722,Somewhat Satisfied,0.2424,Very Satisfied,0.2167,Extremely Satisfied,0.0516
43,861,2016-12-01,MBTA Customer Opinion Panel,T-alerts,317,Extremely Dissatisfied,0.0333,Very Dissatisfied,0.0333,Somewhat Dissatisfied,0.1211,Neutral,0.1527,Somewhat Satisfied,0.2559,Very Satisfied,0.2432,Extremely Satisfied,0.1248
44,862,2016-12-01,MBTA Customer Opinion Panel,Real-time mobile apps (e.g. nextbus),261,Extremely Dissatisfied,0.0498,Very Dissatisfied,0.0498,Somewhat Dissatisfied,0.1238,Neutral,0.1219,Somewhat Satisfied,0.2445,Very Satisfied,0.2464,Extremely Satisfied,0.1744
45,863,2016-12-01,MBTA Customer Opinion Panel,,373,Extremely Dissatisfied,0.0599,Very Dissatisfied,0.0599,Somewhat Dissatisfied,0.1275,Neutral,0.109,Somewhat Satisfied,0.1914,Very Satisfied,0.3655,Extremely Satisfied,0.0864
0,93,2016-06-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,503,Extremely Dissatisfied,0.0326,Very Dissatisfied,0.0326,Somewhat Dissatisfied,0.1719,Neutral,0.1002,Somewhat Satisfied,0.3283,Very Satisfied,0.2428,Extremely Satisfied,0.0303
1,94,2016-06-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,491,Extremely Dissatisfied,0.0695,Very Dissatisfied,0.0695,Somewhat Dissatisfied,0.1308999999,Neutral,0.109,Somewhat Satisfied,0.2294,Very Satisfied,0.349,Extremely Satisfied,0.0594
2,95,2016-06-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,491,Extremely Unlikely,0.0072,Very Unlikely,0.0072,Somewhat Unlikely,0.0102,Neither Likely nor Unlikely,0.0279,Somewhat Likely,0.0722,Very Likely,0.3032,Extremely Likely,0.5749
3,96,2016-06-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,483,Extremely Unlikely,0.0627,Very Unlikely,0.0627,Somewhat Unlikely,0.0636,Neither Likely nor Unlikely,0.198,Somewhat Likely,0.1864,Very Likely,0.2157,Extremely Likely,0.2204
4,97,2016-06-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,482,Strongly Disagree,0.1322,Disagree,0.1322,Slightly Disagree,0.1301,Neither Agree nor Disagree,0.0928,Slightly Agree,0.2245,Agree,0.2472,Strongly Agree,0.0233
5,98,2016-06-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,482,Strongly Disagree,0.2206,Disagree,0.2206,Slightly Disagree,0.1303,Neither Agree nor Disagree,0.2038,Slightly Agree,0.1133,Agree,0.1262,Strongly Agree,0.0143
6,99,2016-06-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,482,Strongly Disagree,0.0932,Disagree,0.0932,Slightly Disagree,0.0913,Neither Agree nor Disagree,0.1403,Slightly Agree,0.2493,Agree,0.2847,Strongly Agree,0.0372
7,100,2016-06-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,483,Strongly Disagree,0.092,Disagree,0.092,Slightly Disagree,0.1088,Neither Agree nor Disagree,0.1492,Slightly Agree,0.1634,Agree,0.2942,Strongly Agree,0.0824
8,101,2016-06-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,482,Strongly Disagree,0.1461,Disagree,0.1461,Slightly Disagree,0.1864,Neither Agree nor Disagree,0.1184,Slightly Agree,0.2217,Agree,0.155,Strongly Agree,0.0198
9,102,2016-06-01,MBTA Customer Opinion Panel,Wait time at stop,490,Unacceptable,0.0716,Very Poor,0.0716,Poor,0.0651999999,Fair,0.1835,Good,0.2304,Very Good,0.1844,Excellent,0.2226
10,103,2016-06-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,487,Unacceptable,0.0238,Very Poor,0.0238,Poor,0.0684,Fair,0.2375,Good,0.2849,Very Good,0.2307,Excellent,0.1274
11,104,2016-06-01,MBTA Customer Opinion Panel,Vehicle crowdedness,490,Unacceptable,0.0739,Very Poor,0.0739,Poor,0.0988,Fair,0.1915,Good,0.2409,Very Good,0.2008,Excellent,0.1363
12,105,2016-06-01,MBTA Customer Opinion Panel,Vehicle cleanliness,490,Unacceptable,0.0098,Very Poor,0.0098,Poor,0.0565,Fair,0.2301,Good,0.338,Very Good,0.2397,Excellent,0.1096
13,106,2016-06-01,MBTA Customer Opinion Panel,Speed/travel time,490,Unacceptable,0.0469,Very Poor,0.0469,Poor,0.0971,Fair,0.1644,Good,0.3003,Very Good,0.1927,Excellent,0.1519
14,107,2016-06-01,MBTA Customer Opinion Panel,Parking availability,163,Unacceptable,0.0917,Very Poor,0.0917,Poor,0.0383,Fair,0.101,Good,0.2579,Very Good,0.2031,Excellent,0.2372
15,108,2016-06-01,MBTA Customer Opinion Panel,Real-time communications,406,Unacceptable,0.0563,Very Poor,0.0563,Poor,0.1029,Fair,0.1692,Good,0.2528,Very Good,0.1869,Excellent,0.1873
16,109,2016-06-01,MBTA Customer Opinion Panel,Mbta website,431,Extremely Dissatisfied,0.0289,Very Dissatisfied,0.0289,Somewhat Dissatisfied,0.0729,Neutral,0.2023,Somewhat Satisfied,0.278,Very Satisfied,0.2866,Extremely Satisfied,0.0933
17,110,2016-06-01,MBTA Customer Opinion Panel,Real time arrival signage (countdown timers),456,Extremely Dissatisfied,0.0383,Very Dissatisfied,0.0383,Somewhat Dissatisfied,0.0923,Neutral,0.0778,Somewhat Satisfied,0.217,Very Satisfied,0.3298,Extremely Satisfied,0.2262
18,111,2016-06-01,MBTA Customer Opinion Panel,In-station announcements,440,Extremely Dissatisfied,0.0503,Very Dissatisfied,0.0503,Somewhat Dissatisfied,0.1196,Neutral,0.1542,Somewhat Satisfied,0.26229999989999997,Very Satisfied,0.2331,Extremely Satisfied,0.1108
19,112,2016-06-01,MBTA Customer Opinion Panel,On-vehicle announcements,474,Extremely Dissatisfied,0.06,Very Dissatisfied,0.06,Somewhat Dissatisfied,0.1759,Neutral,0.166,Somewhat Satisfied,0.2469,Very Satisfied,0.1883,Extremely Satisfied,0.0743
20,113,2016-06-01,MBTA Customer Opinion Panel,T-alerts,422,Extremely Dissatisfied,0.0619,Very Dissatisfied,0.0619,Somewhat Dissatisfied,0.1153,Neutral,0.1639,Somewhat Satisfied,0.2458,Very Satisfied,0.2313,Extremely Satisfied,0.1219
21,114,2016-06-01,MBTA Customer Opinion Panel,Real-time mobile apps (e.g. nextbus),294,Extremely Dissatisfied,0.045,Very Dissatisfied,0.045,Somewhat Dissatisfied,0.0755,Neutral,0.1373,Somewhat Satisfied,0.2317,Very Satisfied,0.3118,Extremely Satisfied,0.1659
22,115,2016-06-01,MBTA Customer Opinion Panel,,491,Extremely Dissatisfied,0.0695,Very Dissatisfied,0.0695,Somewhat Dissatisfied,0.1308999999,Neutral,0.109,Somewhat Satisfied,0.2294,Very Satisfied,0.349,Extremely Satisfied,0.0594
23,703,2016-06-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,503,Extremely Dissatisfied,0.0326,Very Dissatisfied,0.0326,Somewhat Dissatisfied,0.1719,Neutral,0.1002,Somewhat Satisfied,0.3283,Very Satisfied,0.2428,Extremely Satisfied,0.0303
24,704,2016-06-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,491,Extremely Dissatisfied,0.0695,Very Dissatisfied,0.0695,Somewhat Dissatisfied,0.1308999999,Neutral,0.109,Somewhat Satisfied,0.2294,Very Satisfied,0.349,Extremely Satisfied,0.0594
25,705,2016-06-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,491,Extremely Unlikely,0.0072,Very Unlikely,0.0072,Somewhat Unlikely,0.0102,Neither Likely nor Unlikely,0.0279,Somewhat Likely,0.0722,Very Likely,0.3032,Extremely Likely,0.5749
26,706,2016-06-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,483,Extremely Unlikely,0.0627,Very Unlikely,0.0627,Somewhat Unlikely,0.0636,Neither Likely nor Unlikely,0.198,Somewhat Likely,0.1864,Very Likely,0.2157,Extremely Likely,0.2204
27,707,2016-06-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,482,Strongly Disagree,0.1322,Disagree,0.1322,Slightly Disagree,0.1301,Neither Agree nor Disagree,0.0928,Slightly Agree,0.2245,Agree,0.2472,Strongly Agree,0.0233
28,708,2016-06-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,482,Strongly Disagree,0.2206,Disagree,0.2206,Slightly Disagree,0.1303,Neither Agree nor Disagree,0.2038,Slightly Agree,0.1133,Agree,0.1262,Strongly Agree,0.0143
29,709,2016-06-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,482,Strongly Disagree,0.0932,Disagree,0.0932,Slightly Disagree,0.0913,Neither Agree nor Disagree,0.1403,Slightly Agree,0.2493,Agree,0.2847,Strongly Agree,0.0372
30,710,2016-06-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,483,Strongly Disagree,0.092,Disagree,0.092,Slightly Disagree,0.1088,Neither Agree nor Disagree,0.1492,Slightly Agree,0.1634,Agree,0.2942,Strongly Agree,0.0824
31,711,2016-06-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,482,Strongly Disagree,0.1461,Disagree,0.1461,Slightly Disagree,0.1864,Neither Agree nor Disagree,0.1184,Slightly Agree,0.2217,Agree,0.155,Strongly Agree,0.0198
32,712,2016-06-01,MBTA Customer Opinion Panel,Wait time at stop,490,Unacceptable,0.0716,Very Poor,0.0716,Poor,0.0651999999,Fair,0.1835,Good,0.2304,Very Good,0.1844,Excellent,0.2226
33,713,2016-06-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,487,Unacceptable,0.0238,Very Poor,0.0238,Poor,0.0684,Fair,0.2375,Good,0.2849,Very Good,0.2307,Excellent,0.1274
34,714,2016-06-01,MBTA Customer Opinion Panel,Vehicle crowdedness,490,Unacceptable,0.0739,Very Poor,0.0739,Poor,0.0988,Fair,0.1915,Good,0.2409,Very Good,0.2008,Excellent,0.1363
35,715,2016-06-01,MBTA Customer Opinion Panel,Vehicle cleanliness,490,Unacceptable,0.0098,Very Poor,0.0098,Poor,0.0565,Fair,0.2301,Good,0.338,Very Good,0.2397,Excellent,0.1096
36,716,2016-06-01,MBTA Customer Opinion Panel,Speed/travel time,490,Unacceptable,0.0469,Very Poor,0.0469,Poor,0.0971,Fair,0.1644,Good,0.3003,Very Good,0.1927,Excellent,0.1519
37,717,2016-06-01,MBTA Customer Opinion Panel,Parking availability,163,Unacceptable,0.0917,Very Poor,0.0917,Poor,0.0383,Fair,0.101,Good,0.2579,Very Good,0.2031,Excellent,0.2372
38,718,2016-06-01,MBTA Customer Opinion Panel,Real-time communications,406,Unacceptable,0.0563,Very Poor,0.0563,Poor,0.1029,Fair,0.1692,Good,0.2528,Very Good,0.1869,Excellent,0.1873
39,719,2016-06-01,MBTA Customer Opinion Panel,Mbta website,431,Extremely Dissatisfied,0.0289,Very Dissatisfied,0.0289,Somewhat Dissatisfied,0.0729,Neutral,0.2023,Somewhat Satisfied,0.278,Very Satisfied,0.2866,Extremely Satisfied,0.0933
40,720,2016-06-01,MBTA Customer Opinion Panel,Real time arrival signage (countdown timers),456,Extremely Dissatisfied,0.0383,Very Dissatisfied,0.0383,Somewhat Dissatisfied,0.0923,Neutral,0.0778,Somewhat Satisfied,0.217,Very Satisfied,0.3298,Extremely Satisfied,0.2262
41,721,2016-06-01,MBTA Customer Opinion Panel,In-station announcements,440,Extremely Dissatisfied,0.0503,Very Dissatisfied,0.0503,Somewhat Dissatisfied,0.1196,Neutral,0.1542,Somewhat Satisfied,0.26229999989999997,Very Satisfied,0.2331,Extremely Satisfied,0.1108
42,722,2016-06-01,MBTA Customer Opinion Panel,On-vehicle announcements,474,Extremely Dissatisfied,0.06,Very Dissatisfied,0.06,Somewhat Dissatisfied,0.1759,Neutral,0.166,Somewhat Satisfied,0.2469,Very Satisfied,0.1883,Extremely Satisfied,0.0743
43,723,2016-06-01,MBTA Customer Opinion Panel,T-alerts,422,Extremely Dissatisfied,0.0619,Very Dissatisfied,0.0619,Somewhat Dissatisfied,0.1153,Neutral,0.1639,Somewhat Satisfied,0.2458,Very Satisfied,0.2313,Extremely Satisfied,0.1219
44,724,2016-06-01,MBTA Customer Opinion Panel,Real-time mobile apps (e.g. nextbus),294,Extremely Dissatisfied,0.045,Very Dissatisfied,0.045,Somewhat Dissatisfied,0.0755,Neutral,0.1373,Somewhat Satisfied,0.2317,Very Satisfied,0.3118,Extremely Satisfied,0.1659
45,725,2016-06-01,MBTA Customer Opinion Panel,,491,Extremely Dissatisfied,0.0695,Very Dissatisfied,0.0695,Somewhat Dissatisfied,0.1308999999,Neutral,0.109,Somewhat Satisfied,0.2294,Very Satisfied,0.349,Extremely Satisfied,0.0594
0,464,2017-11-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,983,Extremely Dissatisfied,0.053,Very Dissatisfied,0.053,Somewhat Dissatisfied,0.1442,Neutral,0.0942,Somewhat Satisfied,0.2257,Very Satisfied,0.3242,Extremely Satisfied,0.0596
1,465,2017-11-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,964,Extremely Dissatisfied,0.0677,Very Dissatisfied,0.0677,Somewhat Dissatisfied,0.1029,Neutral,0.1218,Somewhat Satisfied,0.1186,Very Satisfied,0.388,Extremely Satisfied,0.1069
2,466,2017-11-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,958,Extremely Unlikely,0.0683,Very Unlikely,0.0683,Somewhat Unlikely,0.0705,Neither Likely nor Unlikely,0.1437,Somewhat Likely,0.1885,Very Likely,0.2186,Extremely Likely,0.2646
3,467,2017-11-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,957,Extremely Unlikely,0.0039,Very Unlikely,0.0039,Somewhat Unlikely,0.0111,Neither Likely nor Unlikely,0.0331,Somewhat Likely,0.0454,Very Likely,0.2094,Extremely Likely,0.6936
4,468,2017-11-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,955,Strongly Disagree,0.1507,Disagree,0.1507,Slightly Disagree,0.1617,Neither Agree nor Disagree,0.116,Slightly Agree,0.2231,Agree,0.1772,Strongly Agree,0.0513
5,469,2017-11-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,955,Strongly Disagree,0.1545,Disagree,0.1545,Slightly Disagree,0.1583,Neither Agree nor Disagree,0.2277,Slightly Agree,0.1554,Agree,0.1347,Strongly Agree,0.0345
6,470,2017-11-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,956,Strongly Disagree,0.0954,Disagree,0.0954,Slightly Disagree,0.1151,Neither Agree nor Disagree,0.1554,Slightly Agree,0.2825,Agree,0.192,Strongly Agree,0.0477
7,471,2017-11-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,956,Strongly Disagree,0.0868,Disagree,0.0868,Slightly Disagree,0.1062,Neither Agree nor Disagree,0.1466,Slightly Agree,0.217,Agree,0.248,Strongly Agree,0.1163
8,472,2017-11-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,955,Strongly Disagree,0.1375,Disagree,0.1375,Slightly Disagree,0.1712,Neither Agree nor Disagree,0.1478,Slightly Agree,0.2349,Agree,0.1544,Strongly Agree,0.0201
9,473,2017-11-01,MBTA Customer Opinion Panel,Wait time at stop,962,Unacceptable,0.0762,Very Poor,0.0762,Poor,0.0914,Fair,0.1029,Good,0.1136,Very Good,0.3188,Excellent,0.2193
10,474,2017-11-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,959,Unacceptable,0.0322,Very Poor,0.0322,Poor,0.0954,Fair,0.1649,Good,0.1205,Very Good,0.4127,Excellent,0.1181
11,475,2017-11-01,MBTA Customer Opinion Panel,Vehicle crowdedness,961,Unacceptable,0.1171,Very Poor,0.1171,Poor,0.11,Fair,0.1044,Good,0.1092,Very Good,0.335,Excellent,0.1496
12,476,2017-11-01,MBTA Customer Opinion Panel,Vehicle cleanliness,957,Unacceptable,0.0294,Very Poor,0.0294,Poor,0.0821,Fair,0.1871,Good,0.1155,Very Good,0.4147,Excellent,0.1302
13,477,2017-11-01,MBTA Customer Opinion Panel,Speed/travel time,964,Unacceptable,0.0781,Very Poor,0.0781,Poor,0.0965,Fair,0.1188,Good,0.1425,Very Good,0.3546,Excellent,0.1307
14,478,2017-11-01,MBTA Customer Opinion Panel,Parking availability,314,Unacceptable,0.0857,Very Poor,0.0857,Poor,0.05,Fair,0.25119999989999997,Good,0.1077,Very Good,0.2942,Excellent,0.1649
15,479,2017-11-01,MBTA Customer Opinion Panel,Real-time communications,904,Unacceptable,0.1001,Very Poor,0.1001,Poor,0.1093,Fair,0.1367,Good,0.1267,Very Good,0.3494,Excellent,0.1101
16,480,2017-11-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,983,Extremely Dissatisfied,0.0493,Very Dissatisfied,0.0493,Somewhat Dissatisfied,0.1342,Neutral,0.1445,Somewhat Satisfied,0.2315,Very Satisfied,0.295,Extremely Satisfied,0.0414
17,481,2017-11-01,MBTA Customer Opinion Panel,,964,Extremely Dissatisfied,0.0677,Very Dissatisfied,0.0677,Somewhat Dissatisfied,0.1029,Neutral,0.1218,Somewhat Satisfied,0.1186,Very Satisfied,0.388,Extremely Satisfied,0.1069
18,1074,2017-11-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,983,Extremely Dissatisfied,0.053,Very Dissatisfied,0.053,Somewhat Dissatisfied,0.1442,Neutral,0.0942,Somewhat Satisfied,0.2257,Very Satisfied,0.3242,Extremely Satisfied,0.0596
19,1075,2017-11-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,964,Extremely Dissatisfied,0.0677,Very Dissatisfied,0.0677,Somewhat Dissatisfied,0.1029,Neutral,0.1218,Somewhat Satisfied,0.1186,Very Satisfied,0.388,Extremely Satisfied,0.1069
20,1076,2017-11-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,958,Extremely Unlikely,0.0683,Very Unlikely,0.0683,Somewhat Unlikely,0.0705,Neither Likely nor Unlikely,0.1437,Somewhat Likely,0.1885,Very Likely,0.2186,Extremely Likely,0.2646
21,1077,2017-11-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,957,Extremely Unlikely,0.0039,Very Unlikely,0.0039,Somewhat Unlikely,0.0111,Neither Likely nor Unlikely,0.0331,Somewhat Likely,0.0454,Very Likely,0.2094,Extremely Likely,0.6936
22,1078,2017-11-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,955,Strongly Disagree,0.1507,Disagree,0.1507,Slightly Disagree,0.1617,Neither Agree nor Disagree,0.116,Slightly Agree,0.2231,Agree,0.1772,Strongly Agree,0.0513
23,1079,2017-11-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,955,Strongly Disagree,0.1545,Disagree,0.1545,Slightly Disagree,0.1583,Neither Agree nor Disagree,0.2277,Slightly Agree,0.1554,Agree,0.1347,Strongly Agree,0.0345
24,1080,2017-11-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,956,Strongly Disagree,0.0954,Disagree,0.0954,Slightly Disagree,0.1151,Neither Agree nor Disagree,0.1554,Slightly Agree,0.2825,Agree,0.192,Strongly Agree,0.0477
25,1081,2017-11-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,956,Strongly Disagree,0.0868,Disagree,0.0868,Slightly Disagree,0.1062,Neither Agree nor Disagree,0.1466,Slightly Agree,0.217,Agree,0.248,Strongly Agree,0.1163
26,1082,2017-11-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,955,Strongly Disagree,0.1375,Disagree,0.1375,Slightly Disagree,0.1712,Neither Agree nor Disagree,0.1478,Slightly Agree,0.2349,Agree,0.1544,Strongly Agree,0.0201
27,1083,2017-11-01,MBTA Customer Opinion Panel,Wait time at stop,962,Unacceptable,0.0762,Very Poor,0.0762,Poor,0.0914,Fair,0.1029,Good,0.1136,Very Good,0.3188,Excellent,0.2193
28,1084,2017-11-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,959,Unacceptable,0.0322,Very Poor,0.0322,Poor,0.0954,Fair,0.1649,Good,0.1205,Very Good,0.4127,Excellent,0.1181
29,1085,2017-11-01,MBTA Customer Opinion Panel,Vehicle crowdedness,961,Unacceptable,0.1171,Very Poor,0.1171,Poor,0.11,Fair,0.1044,Good,0.1092,Very Good,0.335,Excellent,0.1496
30,1086,2017-11-01,MBTA Customer Opinion Panel,Vehicle cleanliness,957,Unacceptable,0.0294,Very Poor,0.0294,Poor,0.0821,Fair,0.1871,Good,0.1155,Very Good,0.4147,Excellent,0.1302
31,1087,2017-11-01,MBTA Customer Opinion Panel,Speed/travel time,964,Unacceptable,0.0781,Very Poor,0.0781,Poor,0.0965,Fair,0.1188,Good,0.1425,Very Good,0.3546,Excellent,0.1307
32,1088,2017-11-01,MBTA Customer Opinion Panel,Parking availability,314,Unacceptable,0.0857,Very Poor,0.0857,Poor,0.05,Fair,0.25119999989999997,Good,0.1077,Very Good,0.2942,Excellent,0.1649
33,1089,2017-11-01,MBTA Customer Opinion Panel,Real-time communications,904,Unacceptable,0.1001,Very Poor,0.1001,Poor,0.1093,Fair,0.1367,Good,0.1267,Very Good,0.3494,Excellent,0.1101
34,1090,2017-11-01,MBTA Customer Opinion Panel,How satisfied are you with the MBTA's communication overall?,983,Extremely Dissatisfied,0.0493,Very Dissatisfied,0.0493,Somewhat Dissatisfied,0.1342,Neutral,0.1445,Somewhat Satisfied,0.2315,Very Satisfied,0.295,Extremely Satisfied,0.0414
35,1091,2017-11-01,MBTA Customer Opinion Panel,,964,Extremely Dissatisfied,0.0677,Very Dissatisfied,0.0677,Somewhat Dissatisfied,0.1029,Neutral,0.1218,Somewhat Satisfied,0.1186,Very Satisfied,0.388,Extremely Satisfied,0.1069
0,254,2017-01-01,MBTA Customer Opinion Panel,How would you rate the mbta overall?,380,Extremely Dissatisfied,0.0217,Very Dissatisfied,0.0217,Somewhat Dissatisfied,0.1262,Neutral,0.0933,Somewhat Satisfied,0.3825,Very Satisfied,0.2581,Extremely Satisfied,0.0492
1,255,2017-01-01,MBTA Customer Opinion Panel,How would you rate your most recent trip?,377,Extremely Dissatisfied,0.0243,Very Dissatisfied,0.0243,Somewhat Dissatisfied,0.0836,Neutral,0.0873,Somewhat Satisfied,0.25729999989999996,Very Satisfied,0.3952,Extremely Satisfied,0.1091
2,256,2017-01-01,MBTA Customer Opinion Panel,How likely are you to continue using the mbta in the future?,377,Extremely Unlikely,0.0074,Very Unlikely,0.0074,Somewhat Unlikely,0.0087,Neither Likely nor Unlikely,0.0146,Somewhat Likely,0.0632999999,Very Likely,0.2436,Extremely Likely,0.6525
3,257,2017-01-01,MBTA Customer Opinion Panel,How likely are you to recommend the mbta to a friend or colleague?,375,Extremely Unlikely,0.0419,Very Unlikely,0.0419,Somewhat Unlikely,0.0489,Neither Likely nor Unlikely,0.1452,Somewhat Likely,0.2321,Very Likely,0.1994,Extremely Likely,0.3129
4,258,2017-01-01,MBTA Customer Opinion Panel,The mbta provides reliable public transportation services.,374,Strongly Disagree,0.1115,Disagree,0.1115,Slightly Disagree,0.1442,Neither Agree nor Disagree,0.1171,Slightly Agree,0.2139,Agree,0.2419,Strongly Agree,0.0701
5,259,2017-01-01,MBTA Customer Opinion Panel,The mbta is a cost-conscious organization.,375,Strongly Disagree,0.1409,Disagree,0.1409,Slightly Disagree,0.0997,Neither Agree nor Disagree,0.2743,Slightly Agree,0.1609,Agree,0.1392,Strongly Agree,0.0473
6,260,2017-01-01,MBTA Customer Opinion Panel,The mbta uses technology to meet the needs and demands of its riders.,374,Strongly Disagree,0.0622,Disagree,0.0622,Slightly Disagree,0.0937,Neither Agree nor Disagree,0.136,Slightly Agree,0.2712,Agree,0.2642,Strongly Agree,0.0688
7,261,2017-01-01,MBTA Customer Opinion Panel,The mbta is a good value for the money.,376,Strongly Disagree,0.0532,Disagree,0.0532,Slightly Disagree,0.1105,Neither Agree nor Disagree,0.1235,Slightly Agree,0.2153,Agree,0.2616,Strongly Agree,0.1609
8,262,2017-01-01,MBTA Customer Opinion Panel,The mbta has a fleet of trains and buses that are clean and well maintained.,374,Strongly Disagree,0.167,Disagree,0.167,Slightly Disagree,0.1474,Neither Agree nor Disagree,0.1023,Slightly Agree,0.2474,Agree,0.1586,Strongly Agree,0.0284
9,263,2017-01-01,MBTA Customer Opinion Panel,Wait time at stop,372,Unacceptable,0.0099,Very Poor,0.0099,Poor,0.0707,Fair,0.1441,Good,0.2238,Very Good,0.2509,Excellent,0.2872
10,264,2017-01-01,MBTA Customer Opinion Panel,Stop condition &amp; cleanliness,368,Unacceptable,0.0178,Very Poor,0.0178,Poor,0.0536,Fair,0.2201,Good,0.3487,Very Good,0.2174,Excellent,0.1267
11,265,2017-01-01,MBTA Customer Opinion Panel,Vehicle crowdedness,372,Unacceptable,0.0303,Very Poor,0.0303,Poor,0.0917,Fair,0.1684,Good,0.264,Very Good,0.1853,Excellent,0.1872
12,266,2017-01-01,MBTA Customer Opinion Panel,Vehicle cleanliness,371,Unacceptable,0.006,Very Poor,0.006,Poor,0.0599,Fair,0.2231,Good,0.3252,Very Good,0.23,Excellent,0.1341
